State,Sum of NUM_Medicare_BEN,Sum of NUM_BEN_Age_Less_65,Sum of NUM_BEN_Age_65_to_74,Sum of NUM_BEN_Age_75_to_84,Sum of NUM_BEN_Age_Greater_84,Sum of NUM_Female_BEN,Sum of NUM_Male_BEN,Sum of NUM_Black_or_African_American_BEN,Sum of NUM_Asian_Pacific_Islander_BEN,Sum of NUM_Hispanic_BEN,Sum of NUM_American_IndianAlaska_Native_BEN,Sum of NUM_BEN_With_Race_Not_Elsewhere_Classified,Sum of NUM_Non-Hispanic_White_BEN,Sum of NUM_Minorities,Sum of Average_Age_of_BEN,Sum of NUM_BEN_Atrial_Fibrillation,Sum of NUM_BEN_Asthma,Sum of NUM_BEN_Cancer,Sum of NUM_BEN_Heart_Failure,Sum of NUM_BEN_Chronic_Kidney_Disease,Sum of NUM_BEN_Chronic_Obstructive_Pulmonary_Disease,Sum of NUM_BEN_Hyperlipidemia,Sum of NUM_BEN_Diabetes,Sum of NUM_BEN_Hypertension,Sum of NUM_BEN_Ischemic_Heart_Disease,Sum of NUM_BEN_Stroke,Sum of PCT_MEDICARE,% Urban Pop,Density (P/mi2),Children 0-18,Adults 19-25,Adults 26-34,Adults 35-54,Adults 55-64,65+,Latitude,Longitude,Land Area,Water Area,Mean Elevation,Highest Elevation,Lowest elevation,Number of bordering states,On Coast,Borders Another Country,Capital Latitude,Capital Longitude,Captial Land Area,Capital Water Area,Capital Mean Elevation,Capital is the Largest City,Largest City Latitude,Largest City Longitude,Number of Counties,Became a State,DaysSinceStayatHomeOrder,DaysSinceFirstPositive,DaysSinceTestStart,15-49yearsAllcauses,15-49yearsAsthma,15-49yearsChronickidneydisease,15-49yearsChronicobstructivepulmonarydisease,15-49yearsDiabetesmellitus,15-49yearsInterstitiallungdiseaseandpulmonarysarcoidosis,15-49yearsIschemicheartdisease,15-49yearsNeoplasms,15-49yearsOtherchronicrespiratorydiseases,15-49yearsRheumaticheartdisease,15-49yearsStroke,50-69yearsAllcauses,50-69yearsAsthma,50-69yearsChronickidneydisease,50-69yearsChronicobstructivepulmonarydisease,50-69yearsDiabetesmellitus,50-69yearsInterstitiallungdiseaseandpulmonarysarcoidosis,50-69yearsIschemicheartdisease,50-69yearsNeoplasms,50-69yearsOtherchronicrespiratorydiseases,50-69yearsRheumaticheartdisease,50-69yearsStroke,70+yearsAllcauses,70+yearsAsthma,70+yearsChronickidneydisease,70+yearsChronicobstructivepulmonarydisease,70+yearsDiabetesmellitus,70+yearsInterstitiallungdiseaseandpulmonarysarcoidosis,70+yearsIschemicheartdisease,70+yearsNeoplasms,70+yearsOtherchronicrespiratorydiseases,70+yearsRheumaticheartdisease,70+yearsStroke,AllAgesAllcauses,AllAgesAsthma,AllAgesChronickidneydisease,AllAgesChronicobstructivepulmonarydisease,AllAgesDiabetesmellitus,AllAgesInterstitiallungdiseaseandpulmonarysarcoidosis,AllAgesIschemicheartdisease,AllAgesNeoplasms,AllAgesOtherchronicrespiratorydiseases,AllAgesRheumaticheartdisease,AllAgesStroke,AllAgesTotal,Airpollution,Highbody-massindex,Highfastingplasmaglucose,HighLDLcholesterol,Highsystolicbloodpressure,Impairedkidneyfunction,Noaccesstohandwashingfacility,Smoking,Log10Pop,DaysSinceInfection,Children0-18,Allriskfactors
AK,1820384,270970,809516,468255,175296,1034762,760009,62311,76773,46525,147917,23372,1207054,356898,996.2986788,124618.4205,89514.88771,137399.914,256113.168,476559.3568,232171.648,555362.3857,437977.2326,1001015.607,409443.1614,44513.06715,10.06904099,66,1.2863,181405.17,60468.39,87343.23,174686.46,87343.23,80624.52,61.370716,-152.404419,570665,94343,1900,20320,0,0,2,1,58.3014,-134.4216,2703.87,550.83,56,0,61.2180556,-149.9002778,27,1959,17,32,39,84649.60526,580.2882576,577.1780923,597.197965,1475.908519,107.7465438,1515.344663,4405.979504,125.8331419,105.1732169,894.8796381,82939.0716,401.0250553,1255.875848,4084.72096,4197.864532,370.598334,7401.111054,17358.201,118.7649298,227.2418276,2756.291431,40420.0516,126.2119017,955.4448686,3326.558171,1730.343499,294.3186872,4488.027423,8223.517066,35.58487815,156.8542468,2673.487967,222098.06,1486.811652,2828.817996,8034.549041,7436.429,779.8432809,13404.48314,30416.84967,330.8992506,501.5615967,6390.339899,293708.6445,6290.441832,42849.93964,31928.93365,14174.61076,26325.63884,9116.36826,66.98381663,39514.96032,5.865697243,31,0.27,195489.7993
AL,10804823,2065353,4386595,2980828,1190504,6237445,4514041,1549811,30624,65500,5556,58660,8260982,1710151,3967.220634,1187248.243,800114.465,1169001.427,2516128.304,4167531.062,2066509.729,5879564.284,3802272.523,7676070.7,4125444.141,622846.464,51.25470396,59,96.9221,1105570.08,414588.78,552785.04,1151635.5,644915.88,783112.14,32.806671,-86.79113,50644,1776,500,2405,0,4,3,0,32.3617,-86.2792,159.84,2.34,240,0,33.5206608,-86.80249,67,1819,9,32,34,570168.6587,3659.7009,6681.144192,6749.814568,13565.08879,886.5497221,21828.68842,34900.24792,1213.591906,817.4841169,10757.57736,703110.5178,2810.087619,16545.83126,47609.32695,38724.87416,2924.685506,80013.04456,155300.9985,1269.670979,1843.210299,33666.19258,505829.8863,1352.336696,15918.71659,47156.08242,19890.42277,3052.268454,72780.08195,94067.79564,474.1870658,1952.986147,39548.02721,1875057.249,10455.99462,39508.1184,101688.7664,72351.04243,6905.402659,174621.8149,286762.7583,3307.422404,4682.703699,84590.65171,2659931.925,120555.1909,464371.1943,409403.5928,180755.5756,343659.7833,131418.7291,761.1337023,469931.0534,6.690959501,30,0.24,1837700.899
AR,15892716,2818665,6370265,4555468,1848506,9275039,6507151,1334245,19642,108428,62782,61250,13052037,1586347,3928.834167,1876794.466,988031.9331,1742834.628,3513573.918,5247400.622,2889204.866,7447697.71,4901947.584,10870434.72,6226359.078,940064.1696,94.57094927,56.2,58.403,686482.5,247133.7,329511.6,686482.5,356970.9,466808.1,34.969704,-92.373123,52030,1149,650,2753,55,6,0,0,34.7361,-92.3311,119.22,2.8,335,1,34.7361,-92.3311,75,1836,0,33,39,330253.9607,2118.701553,3729.848364,3751.646255,7475.925976,461.5540022,14101.39954,21413.27526,643.2471886,429.9552748,5990.316882,402470.1963,1547.30825,9303.334992,27976.41092,20812.77906,1494.785506,53244.62628,89342.75386,640.7658334,879.6280878,17328.44332,311717.0448,734.680507,9984.189914,28970.49407,12246.13233,1748.873922,47973.03829,57667.79705,246.4987347,946.0002926,23809.64814,1099801.386,5745.768294,23217.74036,60808.9638,40656.3634,3729.066963,115319.0641,170051.9796,1733.762276,2295.539676,47487.66275,1570847.297,71944.75185,270348.9552,227480.5034,117399.1199,211980.4935,78734.44202,429.2069822,277288.2896,6.482730557,31,0.25,1064295.644
AS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AZ,10786064,886596,4861035,3377040,1294375,5944519,4747801,221183,61840,689880,179818,114903,8720646,1267624,1009.367955,1188625.277,758367.2766,1094701.434,1848943.693,3655089.412,1551354.48,5491231.285,3135578.931,6902192.489,3567747.609,518367.7706,14.07594157,89.8,64.955,1744612.56,654229.71,872306.28,1744612.56,872306.28,1308459.42,33.729759,-111.431221,113595,396,4100,12633,70,5,0,2,33.45,-112.0667,517.67,1.25,1086,0,33.4483771,-112.0740373,15,1912,14,41,41,708921.0209,6607.997304,5886.243784,5896.852324,14692.67765,752.5754032,12690.99594,34832.72948,1097.756995,546.9549033,7113.790544,750472.5258,4818.78721,15116.66407,41918.09532,42924.23671,3044.92581,65054.41109,144131.4177,1049.049717,1124.409553,22948.29392,616221.717,2592.178584,16877.71971,55839.28765,26990.53817,4238.704248,75510.95134,109764.8798,444.6937818,1332.714132,36100.03324,2189375.953,18354.71442,38216.01756,103902.4778,84873.08031,8089.374624,153256.3584,291804.5628,3015.503897,3064.258519,66658.91651,2960611.218,95028.90799,459583.5942,388586.8607,148145.201,300580.1802,120708.2158,769.0565857,420957.929,6.867967728,33,0.24,1955853.497
CA,42579588,5706838,16917419,12383358,6306425,23831809,18280568,2072012,3276415,5674776,113871,562214,28244544,11699288,4001.853612,4330652.889,3042077.586,4145700.562,9085186.864,14714777.14,6179025.546,20285692.6,13697247.9,26750325.55,14118753.05,2184399.378,63.39833395,95,256.3727,9481941.36,3555728.01,5531132.46,10272103.14,4740970.68,5531132.46,36.116203,-119.681564,155766,7928,2900,14494,-2822,3,2,2,38.5556,-121.4689,97.92,2.18,30,0,34.0522342,-118.2436849,58,1850,25,41,41,3437984.307,32212.49492,32470.75597,28301.62793,66752.55995,3438.40443,64898.14355,190800.7865,5150.799699,2673.830694,43291.1537,3573154.847,23680.86483,77088.45726,153629.1418,191548.818,14603.77542,303142.8028,706944.4817,4294.187245,5311.322057,125404.9559,2734122.96,12160.12578,78321.85247,203601.0201,116779.2144,19429.99513,358764.1174,494642.1598,1738.662857,6428.183248,177829.8927,10302639.66,88895.68233,189382.092,386718.3723,376253.3828,37691.15321,726805.0637,1408565.741,12989.20552,14669.40703,348969.1851,13893578.94,497118.5683,2263098.469,1730000.462,715937.9694,1482464.827,591806.6204,3561.489181,1780659.186,7.601380756,33,0.24,8742412.723
CO,6272609,903245,2708486,1667947,755533,3486792,2721349,242578,46971,412608,16595,70484,4922552,789236,3299.599283,583582.4997,413816.3349,577934.8285,1066832.073,1944373.827,949476.8383,2419581.905,1505186.923,3585414.245,1783056.054,266246.4148,35.12671244,86.2,56.4011,1354702.32,508013.37,790243.02,1467594.18,733797.09,790243.02,39.059811,-105.311104,103641,454,6800,14433,3350,7,0,0,39.7619,-104.8811,153.33,1.63,5410,1,39.7619,-104.8811,64,1876,19,39,40,497995.8611,4454.267499,3439.575323,4260.013597,7218.405519,573.9606983,7958.768406,24616.35757,817.601596,509.788522,4960.169862,519230.9561,3201.529694,8305.934561,29937.72797,20428.62458,2260.83253,38384.603,100159.913,760.7649107,1146.447349,15882.85808,382328.52,1612.904841,9533.11774,37410.73315,12381.76379,2769.438765,40098.54067,67570.22531,332.7945436,1312.23768,23851.65958,1480322.56,12159.25771,21473.89377,71787.23727,40200.64324,5643.587425,86441.91208,194631.3848,2225.670371,3024.609065,45034.50072,1962945.256,43939.0563,261958.6634,188187.3587,86539.07036,179979.5465,68151.13053,499.5757173,246844.6558,6.766823597,32,0.24,1217428.927
CT,789815,111690,281689,230361,145038,461039,321402,42413,3132,33760,297,11073,634865,90675,565.7331858,108309.0699,70412.46039,83643.5227,167097.6303,258125.052,134696.2871,389833.6679,235063.6183,512040.8607,255454.1436,42641.94684,1.702566123,88,735.8689,784363.14,285222.96,392181.57,962627.49,534793.05,606098.79,41.597782,-72.755371,4840,703,500,2380,0,3,1,0,41.7625,-72.6742,17.4,0.7,59,0,41.1865478,-73.1951767,8,1788,24,37,37,320803.4684,3628.005257,2512.95758,3048.213384,6122.917276,402.3118338,6292.185793,18023.55941,566.1987375,271.9019214,3208.12381,389203.1469,2959.054147,6814.336492,18714.89548,20817.8795,1668.641251,30764.90138,83254.91615,595.768012,659.3312811,11335.06836,326665.3707,1450.257492,8749.743771,25058.59854,13495.60208,2230.917896,39690.98808,61154.49097,257.1737761,889.4910965,19140.92628,1084531.584,10300.10819,18200.08292,46926.07636,40541.86982,4317.252487,76748.07525,163623.5134,1582.497893,1838.221782,33863.95702,1482473.239,43483.68055,232051.2306,193246.7186,74876.27709,148029.5428,59587.03105,427.2009156,207027.4356,6.551825208,30,0.22,944175.0039
DC,1551771,275933,600714,420061,198796,894867,638262,744649,20740,34923,93,15261,608640,815666,70.00289316,177162.9276,132530.6714,189736.7943,451068.6275,664628.7464,231402.7596,768907.501,613073.0068,1032884.945,595140.5757,147830.3189,2.198757632,100,11814.541,141149.8,70574.9,148207.29,190552.23,70574.9,84689.88,38.897438,-77.026817,61,7,150,410,1,2,0,0,38.9047,-77.0164,61.05,7.29,204,1,38.9047,-77.0164,1,1790,14,37,40,76287.87679,627.8242655,966.1737804,419.1861846,1360.529973,103.3193211,1455.000458,4974.629539,100.9001337,54.09091452,910.8354179,65954.13844,347.5343696,1752.884716,1994.38999,3006.977687,307.9807322,7109.035922,15572.14741,91.34841606,113.011811,2405.557882,43213.37865,156.7310693,1488.503383,2035.991945,1767.421883,282.217701,6304.994246,8148.950882,32.34142585,89.80900274,2664.104712,200485.8536,1420.614828,4277.707417,4460.522537,6156.712703,697.5708398,14869.03063,29039.8946,249.2831654,261.7857015,6034.580321,267953.5563,8274.662337,47576.48788,30294.73233,14891.39668,36242.01878,12603.99727,77.40433482,34414.0452,5.857746688,32,0.2,185095.0021
DE,1430545,195221,617714,414434,173905,828018,593863,200423,6606,18032,548,15648,1105811,241257,213.2973703,185384.8986,110044.1666,156583.6323,267677.4879,496041.2168,235164.6089,862450.4488,501846.3249,985369.1791,518651.1909,105296.7493,4.042711444,83.3,504.3073,214228.08,77901.12,116851.68,243441,136326.96,185015.16,39.318523,-75.507141,1949,539,60,448,0,3,1,0,39.1581,-75.5244,23.19,1.29,30,0,39.7390721,-75.5398,3,1787,22,34,39,93183.49786,802.3096667,896.0584044,905.9745662,2011.653656,136.7105504,2024.536689,5587.211387,171.0707364,84.83939221,1011.172455,116737.3287,647.6563306,2598.073846,6293.356491,6868.5411,517.8959151,10985.58357,25962.67837,183.6343765,231.8758755,3811.382174,93107.21866,330.0263697,2729.595588,7681.644417,4333.993092,592.0783085,12512.98815,17760.71894,74.60495768,245.7453418,5881.143152,319305.9816,2315.057346,6272.834083,14911.54152,13249.07327,1253.435857,25523.10841,49710.9032,481.9632998,569.8256462,10766.80076,444360.525,17583.57323,74754.19813,66871.10721,24886.00489,48799.55974,20197.54069,122.0996776,67353.90365,5.992507126,31,0.22,299583.7931
FL,39876645,4795780,15369244,12554417,6371457,22389242,17245991,2968417,108855,2896866,11833,377867,31219845,6363838,4189.934082,5753482.071,2874246.162,5117501.423,9579558.667,15827777.14,8408642.533,24138942.67,14133103.73,27864439.88,18146412.49,2876953.859,82.65103817,91.2,410.1256,4480812.84,1706976.32,2560464.48,5334301,2987208.56,4480812.84,27.766279,-81.686783,53603,12154,100,345,0,2,5,0,30.455,-84.2533,100.42,3.21,203,0,30.3321838,-81.655651,67,1845,12,41,41,1936007.43,15252.68057,17829.47284,20978.20563,41518.90918,2245.07521,44591.26422,109145.1578,3521.233896,1378.645977,24937.95759,2514491.024,13203.09872,49447.1303,148779.1489,143598.396,9836.781768,221078.1059,529609.2458,3680.377999,3274.893932,88030.74696,2226033.317,7709.122462,59804.90436,191654.1416,100249.1043,14397.49175,291383.6822,409616.5547,1490.036507,4373.58266,134131.6855,6992550.744,46930.68226,127989.8344,362055.1522,286035.9769,26629.00972,557053.0523,1057014.221,9758.907878,9175.396167,248652.552,9723845.529,280763.9539,1627131.448,1404097.333,539553.4854,1118425.468,424978.2759,2201.266051,1532184.386,7.342284178,33,0.21,6447762.712
GA,16836198,2883562,6928640,4672843,1945520,9534894,7169553,2793369,76800,165647,4676,101294,12254942,3141786,7981.626181,1894636.046,1120993.823,1874628.055,3991498.941,6616384.725,3042483.392,9250390.377,5874691.219,11730331.11,6188738.963,1010314.278,116.6490604,75.1,186.6719,2539700.54,879127.11,1172169.48,2637381.33,1172169.48,1367531.06,33.040619,-83.643074,57501,1924,600,4784,0,5,1,0,33.755,-84.39,133.2,0.85,894,1,33.755,-84.39,159,1788,11,41,41,1063620.208,8206.249159,12585.39673,11295.50872,24347.22557,1534.138022,31553.87874,61558.16376,2039.591745,1158.711734,17828.36458,1206618.613,5695.921585,30618.36413,70273.12963,68323.64866,5406.773461,120502.2808,249353.8499,1959.323254,2664.711516,52912.20046,796013.5204,2428.097004,27271.92731,70309.22087,35027.61835,5182.452304,100836.0004,145095.7614,682.6043445,2445.492438,56737.67164,3262301.257,22781.92512,71133.60751,152269.5014,128127.6781,12206.99488,252892.1599,461058.3811,5380.061486,6382.601606,128523.8309,4503057.999,189990.6759,798353.5391,665463.5206,263405.9622,561379.978,217773.0261,1301.968357,682618.4671,7.030844889,33,0.26,3030888.263
GU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HI,1224267,114209,507674,344914,194708,663522,541742,6300,595404,42300,696,123899,358273,768599,287.0951822,104839.9476,91208.59844,125868.4555,214479.4232,446042.9476,115225.8831,681999.0765,408628.2192,807279.2929,338041.5204,58568.31955,2.202788134,91.9,219.9419,325630.78,99105.02,169894.32,353946.5,184052.18,268999.34,21.094318,-157.498337,6428,4499,3030,13796,0,0,2,0,21.3,-157.8167,60.5,7.9,19,1,21.3,-157.8167,5,1959,21,38,38,117149.8218,1276.578935,1198.208272,858.6023269,2337.566789,136.4529495,2655.086385,7644.701389,180.4555997,133.5514813,1702.858357,143179.5291,1134.653045,3156.230389,5155.149375,7609.183011,616.2337426,12898.19627,31388.16061,202.2914332,344.1557035,5816.311094,118690.2434,617.2764016,3617.506584,6356.924198,5047.445738,814.9049047,12648.03782,21459.79385,100.7789439,350.6089613,8649.822392,400813.3851,3854.46834,8035.394417,12406.84494,15038.63817,1572.284888,28201.32048,61066.27726,542.0494069,837.8869906,16250.12464,548618.6746,4555.609063,84934.73669,71874.51544,28488.72522,61419.26266,24904.44655,150.5363442,73375.05977,6.150045949,30,0.23,335219.9407
IA,4288235,595917,1688836,1236616,661828,2466661,1794495,68974,5412,29701,6528,28260,3442980,138875,6633.958083,491067.2823,243721.428,376287.0853,796951.064,1279599.163,701814.0555,2052514.799,1215946.167,2675348.528,1304125.053,150863.1862,72.84397761,64,56.9284,754698.25,271691.37,362255.16,724510.32,392443.09,513194.81,42.011539,-93.210526,55858,415,1100,1670,480,6,0,0,41.5908,-93.6208,88.92,1.73,955,1,41.5908,-93.6208,99,1846,0,36,39,257099.0299,1701.281704,1957.237069,2572.418391,5126.42231,355.3637032,6631.436301,16363.38195,473.2951354,224.6918283,3009.664885,332201.5265,1428.931427,5332.878292,20281.26343,17296.6016,1461.869049,34141.67568,75779.61109,520.6505087,565.7142078,10398.32076,298920.7083,761.8806593,7880.478594,26702.40099,11928.28489,2177.824748,40646.30724,56445.37932,248.4872764,766.8011436,19781.59412,932395.414,4967.956145,15289.4791,49658.38579,34459.75039,4017.893283,81419.41922,150189.1967,1422.213129,1586.223302,33403.58904,1308809.52,48801.98526,210748.5839,172087.4676,79051.92262,146536.7677,53855.14441,330.3149753,208072.3808,6.502406497,31,0.25,816300.9244
ID,2227080,285620,940592,655932,263912,1246535,962184,12951,15975,57378,10851,20314,1768479,117469,2362.853024,182063.7635,128651.4354,168718.9918,317313.8635,577055.8137,261792.0087,806794.1444,565311.597,1248286.272,522706.9187,51031.42403,19.54669573,70.6,22.0969,453796.02,151265.34,201687.12,403374.24,201687.12,268916.16,44.240459,-114.478828,82643,926,5000,12662,710,6,0,1,43.6167,-116.2,82.09,0.71,2730,1,43.6167,-116.2,44,1890,19,31,38,154528.9754,1118.953689,1169.90607,1316.195778,2776.950709,200.4155785,2753.757181,8111.685262,268.9034328,172.8621236,1701.00546,167400.1434,907.1977749,2748.747511,10177.4329,8859.840398,770.9748093,14363.73767,34328.4743,277.8558379,420.8572751,5462.169986,141583.9098,499.5914321,3640.936758,13274.4929,6151.482387,1113.740399,16693.62594,25805.29183,145.3440011,525.8554922,9354.160443,490096.3478,3196.198622,7627.485503,24828.97505,17857.85105,2097.037168,33811.1208,69080.67532,801.291058,1139.780565,16645.77711,667182.54,15111.22648,98716.14536,83603.28,32954.74362,66269.87568,25304.17788,163.9223222,94774.29577,6.261537875,30,0.27,418245.5851
IL,16644533,2549284,6392103,4764575,2475569,9423752,7009714,2053666,239260,844794,6792,134794,11843587,3279306,5615.273116,1982128.951,1281611.255,1853550.731,4002704.992,6107449.743,2967721.14,8208320.072,5674702.365,11103067.52,6030632.483,1022052.152,66.1419864,88.5,228.0243,2952451.2,1107169.2,1476225.6,3198488.8,1599244.4,1845282,40.349457,-88.986137,55518,2398,600,1235,279,6,4,0,39.8,-89.65,60.09,6.28,558,0,41.8781136,-87.6297982,102,1818,24,41,41,1194875.584,10697.41884,11667.62435,10886.04949,23982.60885,1467.106747,29964.15321,68613.32804,2020.393394,1089.005852,15091.70489,1378253.093,7429.748026,30995.63695,69500.67769,73617.9494,5640.260654,135534.4515,306080.0057,2072.731561,2450.721026,49645.35432,1080032.28,3293.907675,34980.99845,85519.95664,44860.4429,7002.221506,144559.568,206966.4904,874.4506799,3114.589466,72932.84651,3856858.496,27871.54417,78238.16671,166299.8486,142931.5703,14183.46966,310058.1728,587151.0931,5627.691495,6760.689033,138631.3103,5334612.052,213305.8158,923617.9751,729588.0766,310815.4422,645162.7351,247372.1204,1552.414453,798167.6606,7.102422797,33,0.24,3475259.999
