date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,recovered,death,totalTestResults,percent_positive,hospitalized_percent,recovered_percent,death_percent,population,,positive_norm,hospitalized_norm,recovered_norm,,,death_norm
4/13/2020,NM,1245,29270,,80,,295,26,30515,4.079960675,6.425702811,23.69477912,2.088353414,2096829,40,0.000593754,3.82E-05,0.000140689,40,40,1.24E-05
4/12/2020,NM,1174,27518,,78,,235,20,28692,4.091732887,6.6439523,20.01703578,1.703577513,2096829,39,0.000559893,3.72E-05,0.000112074,39,39,9.54E-06
4/11/2020,NM,1091,26007,,75,,235,19,27098,4.026127389,6.874427131,21.53987168,1.74152154,2096829,38,0.000520309,3.58E-05,0.000112074,38,38,9.06E-06
4/10/2020,NM,1091,26007,,73,,217,19,27098,4.026127389,6.691109074,19.89000917,1.74152154,2096829,37,0.000520309,3.48E-05,0.00010349,37,37,9.06E-06
4/9/2020,NM,865,22942,,59,,201,16,23807,3.633385139,6.820809249,23.23699422,1.849710983,2096829,36,0.000412528,2.81E-05,9.59E-05,36,36,7.63E-06
4/8/2020,NM,794,21451,,51,,171,13,22245,3.569341425,6.423173804,21.53652393,1.637279597,2096829,35,0.000378667,2.43E-05,8.16E-05,35,35,6.20E-06
4/7/2020,NM,686,21139,,48,,133,12,21825,3.143184422,6.997084548,19.3877551,1.749271137,2096829,34,0.000327161,2.29E-05,6.34E-05,34,34,5.72E-06
4/6/2020,NM,624,18512,,45,,130,12,19136,3.260869565,7.211538462,20.83333333,1.923076923,2096829,33,0.000297592,2.15E-05,6.20E-05,33,33,5.72E-06
4/5/2020,NM,543,16285,,37,,54,11,16828,3.226764916,6.813996317,9.944751381,2.025782689,2096829,32,0.000258962,1.76E-05,2.58E-05,32,32,5.25E-06
4/4/2020,NM,495,15137,,41,,26,10,15632,3.166581372,8.282828283,5.252525253,2.02020202,2096829,31,0.000236071,1.96E-05,1.24E-05,31,31,4.77E-06
4/3/2020,NM,403,14375,,31,,26,7,14778,2.727026661,7.692307692,6.451612903,1.736972705,2096829,30,0.000192195,1.48E-05,1.24E-05,30,30,3.34E-06
4/2/2020,NM,363,13648,,31,,26,6,14011,2.590821497,8.539944904,7.162534435,1.652892562,2096829,29,0.000173119,1.48E-05,1.24E-05,29,29,2.86E-06
4/1/2020,NM,315,12925,,24,,26,5,13240,2.379154079,7.619047619,8.253968254,1.587301587,2096829,28,0.000150227,1.14E-05,1.24E-05,28,28,2.38E-06
3/31/2020,NM,281,12246,,22,,26,4,12527,2.243154786,7.829181495,9.252669039,1.423487544,2096829,27,0.000134012,1.05E-05,1.24E-05,27,27,1.91E-06
3/30/2020,NM,237,10942,,22,,26,2,11179,2.120046516,9.282700422,10.97046414,0.843881857,2096829,26,0.000113028,1.05E-05,1.24E-05,26,26,9.54E-07
3/29/2020,NM,237,10769,,19,,2,2,11006,2.153370889,8.016877637,0.843881857,0.843881857,2096829,25,0.000113028,9.06E-06,9.54E-07,25,25,9.54E-07
3/28/2020,NM,191,9196,,17,,,1,9387,2.03472888,8.90052356,,0.523560209,2096829,24,9.11E-05,8.11E-06,,24,24,4.77E-07
3/27/2020,NM,136,8377,,,,,1,8513,1.597556678,,,0.735294118,2096829,23,6.49E-05,,,23,23,4.77E-07
3/26/2020,NM,112,7681,,,,,1,7793,1.437187219,,,0.892857143,2096829,22,5.34E-05,,,22,22,4.77E-07
3/25/2020,NM,100,6742,,,,,1,6842,1.461560947,,,1,2096829,21,4.77E-05,,,21,21,4.77E-07
3/24/2020,NM,83,5890,,,,,,5973,1.389586472,,,,2096829,20,3.96E-05,,,20,20,0.00E+00
3/23/2020,NM,65,5321,,,,,,5386,1.206832529,,,,2096829,19,3.10E-05,,,19,19,0.00E+00
3/22/2020,NM,57,4722,,,,,,4779,1.192718142,,,,2096829,18,2.72E-05,,,18,18,0.00E+00
3/21/2020,NM,57,3771,,,,,,3828,1.489028213,,,,2096829,17,2.72E-05,,,17,17,0.00E+00
3/20/2020,NM,43,3771,,,,,,3814,1.127425275,,,,2096829,16,2.05E-05,,,16,16,0.00E+00
3/19/2020,NM,35,2762,,,,,,2797,1.251340722,,,,2096829,15,1.67E-05,,,15,15,0.00E+00
3/18/2020,NM,28,2326,,,,,,2354,1.189464741,,,,2096829,14,1.34E-05,,,14,14,0.00E+00
3/17/2020,NM,23,1249,,,,,,1272,1.808176101,,,,2096829,13,1.10E-05,,,13,13,0.00E+00
3/16/2020,NM,17,566,,,,,,583,2.915951973,,,,2096829,12,8.11E-06,,,12,12,0.00E+00
3/15/2020,NM,13,482,,,,,,495,2.626262626,,,,2096829,11,6.20E-06,,,11,11,0.00E+00
3/14/2020,NM,10,237,,,,,,247,4.048582996,,,,2096829,10,4.77E-06,,,10,10,0.00E+00
3/13/2020,NM,10,190,,,,,,200,5,,,,2096829,9,4.77E-06,,,9,9,0.00E+00
3/12/2020,NM,5,155,,,,,,160,3.125,,,,2096829,8,2.38E-06,,,8,8,0.00E+00
3/11/2020,NM,3,87,,,,,,90,3.333333333,,,,2096829,7,1.43E-06,,,7,7,0.00E+00
3/10/2020,NM,0,69,,,,,,69,0,,,,2096829,6,0,,,6,6,
3/9/2020,NM,0,57,0,,,,,57,0,,,,2096829,5,0,,,5,5,
3/8/2020,NM,0,48,0,,,,,48,0,,,,2096829,4,0,,,4,4,
3/7/2020,NM,0,48,0,,,,,48,0,,,,2096829,3,0,,,3,3,
3/6/2020,NM,0,16,0,,,,,16,0,,,,2096829,2,0,,,2,2,
,,,,,,,,,,,,,,,1,,,,1,1,
,,,,,,,,,,,,,,,0,,,,0,0,
